able	unable
acquisitive; possessive; accumulative; predaceous, predacious, predatory; sordid; plundering; greedy, prehensile, covetous, grabby, avaricious, grasping; voracious, rapacious, ravening	unacquisitive
acropetal	basipetal
active; on the go; agile, quick, nimble, spry; energetic; gymnastic, acrobatic, athletic; lively; astir, about; overactive, hyperactive; sporty; hot	inactive; abeyant, dormant; torpid, inert, soggy, sluggish; deskbound, desk-bound; hypoactive, underactive; unenrgetic, lethargic; sedentary
active; activated	inactive; retired; off
active; busy; open; bustling; springy; brisk; going	inactive; dark; dull, slow, sluggish; idle, unused; dead; strikebound
active; progressive	inactive; dead-end; indolent; quiescent; flat; latent
active; hands-on; proactive; activistic, activist	inactive, passive; resistless, unresisting, supine; hands-off
active; eruptive	dormant, inactive; quiescent
extinct; dead	active; live, alive; live
active, dynamic	stative
active	passive
active	quiet
active; counteractive; surface-active; activated	inactive; quiescent
actual, existent; effective	possible, potential; latent
acute; subacute	chronic; degenerative
virulent; highly infective; deadly	avirulent
adaptative, adaptive; adaptational; adjustive; accommodative, reconciling	maladaptive; maladjustive; dysfunctional, nonadaptive
addicted; dependant, strung-out, drug-addicted, dependent, hooked; alcoholic, alcohol-dependent	unaddicted; clean
addictive, habit-forming	nonaddictive
additive; complemental, completing, complementary; summational, summative; intercalary; addible, addable; extra, additional; supplementary, supplemental; accumulative, cumulative; incremental	subtractive; reductive; ablative
addressed; self-addressed	unaddressed
adequate, equal; satisfactory; competent; adequate to, capable, up to, equal to	inadequate, unequal; deficient, wanting, lacking; unsatisfactory; incapable, unequal to, incompetent; undermanned, short-staffed, short-handed, understaffed
adhesive; sticky; gooey, icky; cohesive; resiny, resinous, tarry, pitchy; viscid, pasty, gummy, glutinous, viscous, mucilaginous, sticky, gluey; adherent; agglutinative, agglutinate; tenacious, coherent; gum-like; self-sealing; bondable; stick-on; gummed, gummy	nonadhesive; ungummed; nonglutinous, nonviscid; non-resiny, nonresiny, non-resinous, nonresinous
adjective, procedural	essential, substantive
adoptable	unadoptable
adorned, decorated; fringed; gilt-edged; inflamed; clothed, clad; plumed, crested; mounted; bedaubed; wainscoted, paneled; tessellated; ruffled, frilly, frilled; tasselled, tasseled; champleve, cloisonne; carbuncled; crested; tricked-out; studded; tapestried; spectacled, bespectacled, monocled; clinquant, tinselly, tinseled; fancy; feathered, plumy, feathery; embossed, raised, brocaded; beady, gemmed, sequined, spangled, jewelled, jeweled, spangly; tufted; crocketed; buttony; inlaid; inwrought; topknotted, crested, tufted	unadorned, undecorated; plain; untufted; unclothed; plain, unornamented, unembellished, bare, spare
cholinergic	anticholinergic
adroit; quick-witted; artful; cunning, ingenious, clever; light-fingered, nimble-fingered; dexterous, dextrous, deft; clean, neat; handy; co-ordinated, coordinated	maladroit; ham-fisted, bumbling, ham-handed, heavy-handed, handless, left-handed, butterfingered, bungling; nonmechanical, unmechanical; inept, tactless; uncoordinated; awkward
advantageous; discriminatory, preferential; expedient; beneficial, good; positive, plus; opportune; profitable	disadvantageous; harmful; inexpedient; negative, minus; inopportune
adventuresome, adventurous; audacious, venturous, venturesome, daring; sporting; bold; incautious; courageous, brave; swashbuckling, swaggering	unadventurous; cautious; timid; safe
advisable; prudent; well; best, better; wise	inadvisable, unadvisable; imprudent; foolish
advised, well-advised; considered; wise	ill-advised, unadvised; imprudent; foolish
aerobic, aerophilous, aerophilic; aerobiotic; oxidative	anaerobic, anaerobiotic
aerobic	anaerobic
aesthetic, aesthetical, esthetical, esthetic; painterly; cosmetic, enhancive; sensuous; artistic	inaesthetic, unaesthetic; unartistic, inartistic
affected; wonder-struck; subject; impressed; stage-struck; smitten, struck, stricken; taken; moved, touched, stirred, affected	unaffected; superior; immune; unimpressed; unaffected, unmoved, untouched; untouched, unswayed, uninfluenced
affected, unnatural; studied; elocutionary; constrained, strained, forced; mannered; plummy; stilted, contrived, hokey, artificial; strained, agonistic	unaffected; unmannered; uncontrived, unstudied; unselfconscious; lifelike, natural; unstilted
affirmative, affirmatory; assentient; favourable, favorable; positive	negative; unfavourable, unfavorable; disinclined; dissident, dissenting, dissentient
acceptive; accepting	rejective; repudiative; dismissive
afloat; adrift; waterborne; floating	aground
afraid; numb; panic-stricken, panic-struck, terrified, panicked, frightened, panicky; apprehensive; afeard, afeared; shitless; mysophobic; white-lipped; cowardly, fearful; hangdog; alarmed; xenophobic; aghast, appalled, dismayed, shocked; aquaphobic, hydrophobic; unnerved; horror-stricken, horrified, horror-struck; triskaidekaphobic; terror-struck, terror-stricken; claustrophobic; algophobic; acrophobic; agoraphobic; timid; fearful; hunted; frightened, scared	fearless, unafraid; unshrinking, unflinching, unintimidated, unblinking; unfrightened; unapprehensive; bold; courageous, brave
aggressive; bellicose, combative, battleful; obstreperous; predatory, rapacious, ravening, vulturine, vulturous, raptorial; hostile; competitive, militant; truculent; hard-hitting, high-pressure; assertive, self-assertive, self-asserting; offensive; hostile; pugnacious, rough; scrappy; in-your-face	nonaggressive, unaggressive; low-pressure; unassertive; peaceable, peaceful
agitated; hysterical; excited; psychedelic; feverish, hectic; unsteady; overwrought, distraught; discomposed; worked up, excited, aroused, emotional; impatient; wild-eyed; shaken, jolted; tense; frenetic, frantic, phrenetic, frenzied; unquiet	unagitated; composed; relaxed; unexcited; quiet; steady; cool
agitated; stirred; seething; churning, churned-up; churning, turbulent, roiled, roiling, roily; jolted; rippled, ruffled	unagitated; unstirred; nonturbulent
agreeable	disagreeable; unsweet; nerve-wracking, nerve-racking, stressful, trying; harsh, abrasive; vexing, bothersome, nettlesome, pestering, vexatious, teasing, pesky, pestiferous, irritating, plaguey, plaguy, annoying, galling
air-to-ground, air-to-surface	surface-to-air
air-to-ground, air-to-surface	air-to-air
air-to-air	surface-to-air
alert, watchful; wide-awake, heads-up; fly; lively; awake; lidless, sleepless; open-eyed, wakeful, argus-eyed, vigilant; wary	unalert, unvigilant, unwatchful; unwary
algorithmic; recursive	heuristic; trial-and-error
alienable; assignable, conveyable, transferrable, negotiable, transferable; appropriable	inalienable, unalienable; intrinsic, intrinsical; absolute, inviolable, infrangible; nontransferable, unassignable, untransferable; non-negotiable
alive, live; vital; viable; liveborn; animate	dead; nonviable; cold; doomed; breathless, inanimate, pulseless; late; deathlike, deathly; stillborn; exanimate, lifeless; defunct; exsanguine, exsanguinous, bloodless; murdered; executed; slain; fallen; stone-dead; d.o.a.; assassinated; at rest, at peace, asleep, deceased, gone, departed; brain dead
apocrine	eccrine
artesian	subartesian
live; in play; living; active	dead; out of play; extinct; extinct, out; lifeless
alphabetic, alphabetical; alphabetized, alphabetised; abecedarian	analphabetic
altricial	precocial
altruistic, selfless; unselfish	egocentric, egoistical, egoistic, self-centered, self-centred; selfish; self-absorbed, self-involved
ambiguous; multivalent, multi-valued; uncertain; double-edged; left-handed; oracular, enigmatic; double-barreled, double-barrelled; ambiguous, equivocal; polysemous, polysemantic; unclear	unambiguous; unambiguous, unequivocal, univocal; monosemous; clear
ambitious; compulsive, determined, driven; would-be, manque; aspirant, aspiring, wishful; pushful, pushy; enterprising; overambitious	ambitionless, unambitious; nonenterprising, unenterprising; shiftless
ametropic	emmetropic
ample; full, good; generous; abundant; wide-cut, wide, full; sufficient	meager, scrimpy, stingy, meagre, meagerly; miserable, measly, paltry; hardscrabble; scarce; minimal, minimum; hand-to-mouth; scanty, bare, spare; exiguous; deficient, insufficient
anabolic; constructive-metabolic, energy-storing	catabolic, katabolic; energy-releasing, destructive-metabolic
anaclinal	cataclinal
anastigmatic, stigmatic	astigmatic
anticlinal	synclinal
anadromous	diadromous
anadromous	catadromous
catadromous	diadromous
anabatic	catabatic, katabatic
anal retentive, anal	oral
analog, linear, analogue	digital
analytic, analytical; logical; a priori; deductive	synthetic, synthetical; logical; inductive; a posteriori
analytic, uninflected; isolating	synthetic; agglutinative, polysynthetic
analytic, analytical	synthetic, synthetical
inflectional	derivational
apocarpous	syncarpous
angry; maddened, infuriated, enraged, furious, angered; hot under the collar; provoked, aggravated; irascible, choleric; wrothful, wrathful, wroth; smoldering, smouldering; livid; ireful, irate; black; outraged, indignant, incensed, umbrageous; huffy, mad, sore	unangry
resentful; rancorous; bitter, acrimonious	unresentful; unbitter
animate, sentient; sensate	insensate, insentient; unfeeling
animate	inanimate, nonliving, non-living; nonconscious
animate	inanimate
alive, animated; spirited, enlivened; reanimated, revived; vital, full of life, lively	unanimated; wan; lifeless
enlivened; lively; perked up	unenlivened
anon., anonymous; unidentified, unknown, nameless, unnamed	onymous; binomial, binominal; pseudonymous
antemortem	postmortal, postmortem
antecedent; pre-existing, preexistent, pre-existent, preexisting; anticipatory, prevenient; anterior, prior; preceding	subsequent; later, ulterior, posterior; succeeding; accompanying, sequent, resultant, incidental, consequent, ensuant, concomitant, attendant
antrorse	retrorse; decurved
aquatic; subaquatic, submerged, subaqueous, underwater, submersed; subaquatic, semiaquatic; marine	terrestrial; onshore; overland
aquatic; subaquatic, submerged, subaqueous, underwater, submersed; subaquatic, semiaquatic; marine	amphibious; semiaquatic, amphibiotic
terrestrial; onshore; overland	amphibious; semiaquatic, amphibiotic
preceding; previous, old; preparative, preparatory, propaedeutic; antecedent; premedical; above; above-mentioned, above-named; foregoing; prefatory, prefatorial, introductory; precedent	succeeding; following, undermentioned; postmortem; ensuing; following, next; consecutive, back-to-back; in line; subsequent
precedented	unprecedented; new, unexampled
prehensile	nonprehensile
antenatal, prenatal, antepartum	perinatal
antenatal, prenatal, antepartum	postnatal, postpartum
perinatal	postnatal, postpartum
preprandial	postprandial
prewar	postwar
retrograde	anterograde
antemeridian; ante meridiem, a.m.	postmeridian; post meridiem, p.m.
anterior; frontal; frontal; prefrontal; front	posterior; back; retral; caudal; hinder, hind, back
dorsal	ventral; dorsoventral
appealable	unappealable
appendaged	unappendaged
appetising, appetizing; savory, mouth-watering, savoury; toothsome, palatable; tasty	unappetising, unappetizing; tasty; unpalatable
approachable; accessible	unapproachable; standoffish, offish
appropriate; apropos; befitting; proper, right; grade-appropriate; proper; pat	inappropriate; improper; malapropos; unbefitting; wrong, improper
due; collectible, collectable, payable; out-of-pocket; callable; overdue, delinquent; repayable; receivable; collect, cod	undue
due	undue
apropos; apposite, apt, pertinent; appropriate	malapropos; inappropriate; out of place, inapposite
a priori; analytic, analytical; deductive	a posteriori; synthetical, synthetic; inductive
apteral; pseudoprostyle, prostyle; porticoed, amphiprostyle, amphiprostylar, amphistylar	peripteral; pseudoperipteral, peristylar; monopteral
arbitrable	nonarbitrable
columned; columnar; pillared; columnar, columnlike, columniform; colonnaded; amphistylar	noncolumned, uncolumned; astylar; unpillared
arboreal, tree-living, arboreous	nonarboreal
arenaceous, sandlike, sandy	argillaceous, clayey
armed; militarised, militarized; light-armed; equipped, weaponed	unarmed; defenceless, defenseless; clean; barehanded; weaponless
armored, armoured; bulletproof; bony-plated; mail-cheeked; scaled; mail-clad, mailed; lightly armoured, lightly armored; armour-clad, armour-plated, armor-plated, armor-clad, steel-plated	unarmored, unarmoured
armed; thistlelike; taloned, clawed; bristlelike; burred, briery, burry, barbellate, thorny, setose, briary, bristled, spiny, bristly, barbed, prickly, setaceous; brushlike	unarmed; thornless, spineless
armed; armlike; long-armed; one-armed; brachiate	armless
armored, armoured; scaley, scaly, scaled; bone-covered; silver-scaled	unarmored, unarmoured; scaleless
artful; adroit; deep; manipulative; sly, crafty, wily, tricksy, guileful, cunning, slick, foxy, knavish, dodgy, tricky; elusive; precious, cute; scheming, designing; pawky	artless; natural; careless
articulate; communicative, communicatory; speech-endowed; spoken; well-spoken; silver-tongued, eloquent, fluent, silver, facile, smooth-spoken	inarticulate, unarticulate; incommunicative, uncommunicative; dumb; aphasic; mute, silent, dumb; tongue-tied, incoherent; speechless, dumb; voiceless, aphonic; tongueless, mute, unspoken, wordless; unarticulated
speaking; tongued	nonspeaking, walk-on
articulate, articulated; jointed	unarticulated; unjointed
ashamed; repentant, penitent; shamefaced, sheepish; mortified, humiliated, embarrassed; disgraced, dishonored, shamed, discredited; shamed, shamefaced, hangdog, guilty	unashamed; audacious, insolent, brassy, bald-faced, brazen-faced, barefaced, bodacious, brazen; unabashed, unembarrassed; shameless, unblushing; impenitent, unrepentant, unremorseful
assertive, self-asserting, self-assertive; aggressive; imperative; emphatic, forceful; cocky	unassertive; self-effacing, reticent, retiring; nonassertive; timid; submissive; unaggressive, nonaggressive
associative, associatory; associable	nonassociative
attached, committed; involved; betrothed, bespoken; intended; loving	unattached, uncommitted; unengaged, unpledged, unpromised
affixed; appendant; pasted, glued; mounted; basifixed	loose, unaffixed
sessile, stalkless	pedunculate, stalked
sessile	vagile; unattached, free-swimming
attached	detached; semidetached; separate, freestanding
stuck; cragfast	unstuck
attachable; tie-on; clip-on; bondable, bindable	detachable; clastic
wary; upon one's guard, on one's guard, on guard, on your guard; shy	unwary; unguarded; gullible
attentive; advertent, heedful; solicitous; engrossed, wrapped, absorbed, enwrapped, intent, captive; oversolicitous; observant; concerned	inattentive; absentminded, absent, scatty, abstracted; distrait, distracted; woolgathering, dreamy, moony; drowsy, oscitant, yawning; careless; negligent; forgetful, oblivious
attractive; charismatic, magnetic; mesmeric, spellbinding, mesmerizing, hypnotic; cunning, cute; inviting; beautiful; personable; prepossessing; irresistible; engaging, piquant; winsome; pleasing; fetching, winning, taking; enthralling, bewitching, captivating, enchanting, entrancing, fascinating; showy, glossy; photogenic; seductive; dinky	unattractive; plain, homely; unprepossessing, unpresentable; uninviting; ugly; subfusc; unseductive
attractive	repulsive
appealing; attention-getting, catchy; attractive	unappealing; unattractive; off-putting
attributable; traceable; imputable, due, referable, ascribable; credited	unascribable, unattributable
attributive, prenominal; attributive genitive	predicative
pregnant; big, gravid, great, large, expectant, with child, enceinte, heavy	nonpregnant
audible, hearable; sonic; loud; sounding; clunky; perceptible	inaudible, unhearable; supersonic, ultrasonic; voiceless, breathed; unperceivable, imperceptible; infrasonic; silent; silent, unsounded; quiet; unheard
sonic, transonic	subsonic
sonic, transonic	supersonic
subsonic	supersonic
auspicious; propitious; hopeful, bright, promising; rosy, fortunate	inauspicious, unfortunate; unpromising
propitious; favourable, favorable; favourable, golden, favorable, prosperous, lucky; gracious; auspicious	unpropitious; unfavourable, unfavorable; thunderous; inauspicious, ominous, ill
authorised, authorized; legitimate; sceptred, sceptered, empowered; official; canonised, canonized, glorified; approved, sanctioned; lawful; accredited, licenced, licensed, commissioned	unauthorised, unauthorized; unofficial; illegitimate; unlicenced, unlicensed, unaccredited; self-appointed
constitutional	unconstitutional
autochthonous	allochthonous
autoecious, homoecious	heteroecious
autogenic, autogenous; self-generated, self-produced; self-induced	heterogeneous, heterogenous
automatic; automated, machine-driven, machine-controlled; autoloading, semiautomatic, self-loading; self-locking; self-regulating, self-activating, self-acting, self-moving; mechanical; self-winding; smart; semiautomatic	manual; hand-operated, non-automatic
available; accessible; ready; lendable; forthcoming; getable, procurable, gettable, obtainable; open; on tap; on tap; addressable; on hand; visible; in stock; acquirable; easy; purchasable, for sale	unavailable; out of stock; unobtainable, inaccessible, unprocurable, untouchable
awake; astir, up; wide-awake, unsleeping; cognisant, cognizant, aware; insomniac, watchful, sleepless; waking, wakeful; alert, watchful; conscious; awakened	asleep; dozy, drowsy, drowsing; unaware, incognizant; unconscious; at rest; sleepyheaded, sleepy-eyed, sleepy; fast asleep, sound asleep; torpid, hibernating, dormant; slumberous, slumbery, slumbrous, somnolent; hypnoid; unawakened
astringent; hemostatic, styptic	nonastringent
aware, cognizant, cognisant; sensible; witting; conscious; sensible, sensitive; awake; conscious; alert, alive, awake	incognizant, unaware; unmindful, oblivious; unsuspecting; unconscious; unconscious; insensible; unwitting; asleep
witting; cognisant, cognizant, aware	unwitting; unaware, incognizant
alarming; ghastly, sick, gruesome, grim, macabre, grisly; forbidding, threatening, menacing, baleful, sinister, ominous, minatory, minacious; stupefying; petrifying; appalling, dismaying; unnerving, formidable, redoubtable; hairy; shuddery, scary, shivery, scarey, chilling; dreadful, dire, dread, horrific, dreaded, awful, fearful, fearsome, terrible, frightening, horrendous, direful; hair-raising, nightmarish, bloodcurdling; terrifying, terrific; creepy, creepy-crawly; atrocious, horrifying, horrible, frightful, ugly	unalarming
anemophilous	entomophilous
reassuring; soothing, assuasive; assuring; consoling, comforting, consolatory; encouraging	unreassuring, worrisome
back; rear, rearward; aft; backmost, hindermost, hindmost, rearmost; posterior	front; advance, advanced, in advance; frontmost, foremost; fore; anterior; first; frontal, head-on
leading; guiding; directive, directing, directional, guiding	following; pursuing
backed; spiny-backed; high-backed; stiff-backed; low-backed; straight-backed; razor-backed, razorback; hardcover, hardbacked, hardback, hardbound	backless; low-cut
backward; regardant; self-referent, reflexive; regressive; retrograde, retral; reverse, rearward; reversed, converse, transposed; reverse, inverse; retrospective; retroflex, retroflexed; retracted; retroflex, cacuminal; returning, reversive; sweptback, backswept; receding	forward; guardant, gardant, full-face; progressive; fore; headfirst, headlong
forward	reverse
backward; bashful, blate; timid	forward; bumptious, self-assertive; presumptuous, assumptive, assuming; nervy, cheeky, brash; impudent, saucy, sassy, smart, wise, fresh, impertinent, overbold; bold; overfamiliar
balconied	unbalconied
barreled, barrelled	unbarreled, unbarrelled
beaked; stout-billed; straight-billed; thick-billed; beaklike; rostrate; short-billed, short-beaked; billed; duck-billed, duckbill	beakless
bedded; double-bedded; single-bedded; twin-bedded	bedless
beneficed	unbeneficed
bedded, stratified; superimposed, layered; laminal, laminar; foliate, foliated, foliaceous; sheetlike	unstratified
ferned, ferny; fernlike, ferny; braky	fernless
grassy; sedgelike, rushlike; grasslike; sedgy; grass-covered	grassless
gusseted	ungusseted
hairless; smooth-faced, beardless; glabrous; depilatory; balding; depilous; bald-pated, bald-headed, bald; glabrescent; nonhairy; naked-muzzled; tonsured; naked-tailed	haired, hirsute, hairy; shock-headed; coarse-haired, coarse-furred; velvety-haired, velvety-furred; comal, comose, comate; furlike; soft-haired; furry, furred; fuzzed, fuzzy; smooth-haired; dark-haired, dark-coated; tomentous, tomentose; pilary, pilose, pilous; woolly, lanate; wiry; wooly-haired, wooly, woolly-haired, woolly; puberulent, sericeous, downy, pubescent; short-haired; rough-haired; long-haired; thick-haired; hispid; wire-haired, wiry-coated; floccose; silky-haired; glossy-haired, glossy-furred, glossy-coated; snake-haired; canescent, hoary; stiff-haired; pappose; curly-haired, curly-coated; silver-haired
awned, awny; bearded	awnless
bearing; load-bearing, supporting	nonbearing
beautiful; pretty; stunning; ravishing; exquisite; splendiferous, resplendent, splendid, glorious; lovely; pulchritudinous; attractive; beauteous; fair, bonnie, bonny, sightly, comely; dishy; handsome, good-looking, better-looking, well-favoured, fine-looking, well-favored; pleasing; picturesque; scenic; pretty-pretty; gorgeous; graceful	ugly; unpicturesque, unlovely; scrofulous; disfigured; monstrous, grotesque; ill-favored, ill-favoured; unattractive; evil-looking; displeasing; unsightly; repulsive, hideous; fugly; awkward
bellied; big-bellied, great bellied	bellyless, flat-bellied
banded	unbanded
belted; belt-fed; banded; belt-like, beltlike	beltless, unbelted
beneficent; benefic; kind	maleficent; malign; baneful, baleful; malefic, evil, malign, malevolent
malicious; venomed; beady-eyed; catty, cattish, bitchy; vixenish; vindictive, spiteful, despiteful; leering; vicious, venomous, poisonous; malevolent	unmalicious
benign, benignant; harmless; kind; kindly	malign; harmful; cancerous; maleficent; unkind
best; prizewinning, champion; primo; second-best; superior; optimum, optimal; superfine; go-to-meeting, Sunday-go-to-meeting; record-breaking; unsurpassable; top; world-class, first, foremost; unsurpassed, unexceeded, unexcelled; top-grade, top-quality, high-grade; good; uncomparable, incomparable	worst; bottom; pessimal, pessimum; last-place, last, lowest; inferior; bad
better; improved; amended; finer	worse; worsened
better; fitter, healthier	worse, worsened
bettering; amendatory; ameliorating, meliorative, ameliorative, amelioratory; remedial; corrective	worsening
bicameral	unicameral
bidirectional; bifacial, biface; duplex; two-way	unidirectional; one-way; simplex; unifacial
faced; visaged; sweet-faced; long-faced; pale-faced; bald-faced; baby-faced; Janus-faced, two-faced; sad-faced; featured; pug-faced; round-faced, moon-faced	faceless; anonymous
bibbed	bibless
one-sided, unilateral; one-party	many-sided, multilateral; two-way, bipartite, two-part; two-lobed; four-party, quadripartite; nine-sided; tripartite, three-party, three-way; two-sided, bilateral; palmately-lobed; triangular, three-sided, trilateral; deep-lobed; eight-sided; tetramerous; four-sided, quadrilateral; twelve-sided; five-lobed; many-lobed; joint; three-cornered; five-sided; six-sided; seven-sided; four-lobed; ten-sided; eleven-sided; three-lobed; multipartite
bimodal	unimodal
biaural, binaural; two-eared; stereophonic, stereo, two-channel	monaural; mono, monophonic, single-channel; one-eared
binuclear, binucleate, binucleated	trinuclear, trinucleated, trinucleate
binuclear, binucleate, binucleated	mononuclear, mononucleate
mononuclear, mononucleate	trinuclear, trinucleated, trinucleate
biped, two-footed, bipedal	four-footed, quadrupedal, quadruped
biped, two-footed, bipedal	four-footed, quadrupedal, quadruped
black; negroid; dark-skinned, colored, coloured, non-white, dark; negro; African-American, Afro-American	white; Caucasoid, Caucasian; light-skinned
blond, blonde, light-haired; fairish, fair; redheaded; platinum-blonde, towheaded, ash-blonde; flaxen, sandy; nordic	brunet, brunette; tanned, bronzed, suntanned; grizzled; adust; dark; nutbrown; brown, browned; dark-skinned, swart, dusky, swarthy; dark-haired, black-haired, brown-haired
blemished; imperfect; flyblown; scarred, marred; acned, pimpled, pustulate, pimply; damaged; blebbed, blebby; pockmarked, pocked; blotchy	unblemished, unmarred, unmutilated; stainless, untarnished, untainted, unsullied, unstained; undamaged; perfect
bloody; bloodstained, gory; red, violent, crimson; internecine; homicidal, murderous; bloodsucking; blood-filled; bloody-minded, sanguinary, bloodthirsty; merciless, unmerciful; slaughterous, sanguinary, sanguineous, gory, butcherly	bloodless; unbloody, nonviolent
bold; forward; courageous, brave; emboldened; temerarious, daredevil; audacious, fearless, unfearing, dauntless, brave, hardy, intrepid; adventurous, adventuresome; nervy; overvaliant; overreaching, vaulting; unafraid, fearless; heroic, heroical; rash, heady, foolhardy, reckless	timid; timorous, fearful, trepid; afraid; unadventurous; mousey, mousy; unassertive; backward; bashful; cowardly, fearful; coy; intimidated
bound; enchained, chained; unfree; wired; tied, trussed; rolled, furled; pinioned; tethered; fettered, shackled	unbound; unfettered, unchained, untied, unshackled; untethered; free
laced, tied	unlaced, untied
fastened, tied; knotted	unfastened, untied
tangled; entangled; matted; fouled, afoul, foul; rootbound; thrown, thrown and twisted; snarled, snarly, knotty; enmeshed, intermeshed	untangled; unsnarled, loosened, disentangled
bound; cased; brassbound; half-bound; paperbacked, paperback; well-bound	unbound; looseleaf
bordered; fringed; lined; white-edged; spiny-edged; seagirt; finite; featheredged, deckled, deckle-edged; sawtoothed-edged; edged; boxed	unbordered
lotic	lentic
low-class, lower-class; wage-earning, working-class, blue-collar, propertyless; lowborn; proletarian; non-U; upper-lower-class	upper-class; propertied, property-owning; u; wellborn; tweedy; quality
low-class, lower-class; wage-earning, working-class, blue-collar, propertyless; lowborn; proletarian; non-U; upper-lower-class	middle-class; bourgeois; lower-middle-class; upper-middle-class; bourgeois, conservative, materialistic
middle-class; bourgeois; lower-middle-class; upper-middle-class; bourgeois, conservative, materialistic	upper-class; propertied, property-owning; u; wellborn; tweedy; quality
brachycephalic, brachycranic, brachycranial; roundheaded, broad-headed, short-headed; bullet-headed	dolichocephalic, dolichocranic, dolichocranial; long-headed
brave, courageous; adventurous, adventuresome; valiant, valorous; stouthearted, stalwart; unafraid, fearless; lionhearted; gallant; bold; heroic, desperate; undaunted; resolute; spirited, gritty, gamy, gamey, mettlesome, game, spunky	cowardly, fearful; afraid; timid; caitiff; fainthearted, faint-hearted, faint, timid; ignoble; pusillanimous, poor-spirited, unmanly; poltroon; lily-livered, chickenhearted, yellow, chicken, white-livered, yellow-bellied; craven, recreant; funky; dastard, dastardly
gutsy, plucky	gutless
breast-fed; suckled, nursed	bottle-fed
breathing, eupneic, eupnoeic; sweet-breathed	breathless, dyspnoeal, dyspneal, dyspneic, dyspnoeic; unventilated; suffocative, smothering, suffocating; short-winded, pursy, winded, blown; asphyxiating
crystalline; polycrystalline; crystallized, crystalised; microcrystalline	noncrystalline; amorphous, uncrystallised, uncrystallized
landed	landless
light; sunstruck, sunlit; illuminated, well-lighted, lighted, lit; phosphorescent; bright; floodlighted, floodlit; autofluorescent; candent, incandescent; lighting-up; white; bioluminescent; lamplit; candescent; ablaze, inflamed, reddened; livid; luminescent; fluorescent	dark; semidark; Cimmerian; caliginous; dusky, twilit, twilight; darkened; gloomy, glooming, sulky, gloomful; subdued, dim; darkling; darkening; crepuscular; tenebrious, tenebrous, tenebrific; darkling; unlighted, lightless, unlit, unilluminated; aphotic; Stygian, Acheronian, Acherontic; black, pitch-dark, pitch-black
shaded; mirky, murky; shadowed, shady, shadowy, umbrageous	unshaded; unshadowed
shaded; crosshatched, hatched	unshaded
moonlit, moony	moonless
bridgeable	unbridgeable
